Id_station,Id_omm,Nom_usuel,Latitude,Longitude,Altitude,Date_ouverture,Pack
25254001,,LES FOURGS,46.834,6.4365,1140,1956-07-01,ETENDU
25285001,,GRAND'COMBE-CHATELEU_SAPC,47.019167,6.567167,769,2015-10-01,ETENDU
25320001,7391.0,LABERGEMENT,46.779667,6.2795,863,1943-01-01,ETENDU
25334001,,LEVIER_SAPC,46.949333,6.124167,713,1880-09-01,ETENDU
25356003,7837.0,MAICHE,47.243,6.791,825,1992-12-01,RADOME
25372001,,MEDIERE,47.456,6.601333,302,2008-01-01,ETENDU
25413001,,MOUTHE,46.707,6.2095,940,1880-06-01,ETENDU
25453001,,PIERREFONTAINE,47.216667,6.528833,695,1947-07-01,ETENDU
25462001,,PONTARLIER,46.927,6.32,808,1874-11-01,RADOME
25494001,,LA BOISSAUDE ROCHEJEAN,46.729,6.322833,1222,2006-06-26,RADOME
25512001,,LE RUSSEY,47.162167,6.7375,891,1963-06-01,ETENDU
25529002,,SANCEY-LE-GRAND,47.3015,6.581667,490,2004-09-01,RADOME
25621001,,VILLENEUVE-D'AMONT,46.9385,6.021333,663,1858-01-01,ETENDU
26002003,,ALBON,45.252333,4.822333,153,2001-07-01,RADOME
26035001,,BEAUFORT-S-GERV,44.778,5.139,379,1947-01-01,ETENDU
26047001,,BELLEGARDE-EN-D,44.535167,5.454333,1017,1961-01-01,ETENDU
26050001,,BESIGNAN,44.3205,5.317,556,1990-05-01,RADOME
26056001,,BOURDEAUX,44.580167,5.142833,432,1961-01-01,ETENDU
26064001,7581.0,VALENCE-CHABEUI,44.914833,4.971833,163,1973-01-01,RADOME
26074001,,CHAPELLE-EN-VERCORS_SAPC,44.9615,5.422167,879,1994-04-01,ETENDU
26113003,,DIE,44.767667,5.3435,384,1990-01-01,ETENDU
26116002,,DONZERE,44.429167,4.725333,66,1992-03-01,ETENDU
26124001,,ETOILE,44.819,4.8895,145,1987-01-01,RADOME
26142001,,GLANDAGE_SAPC,44.674667,5.615167,1007,1967-10-01,ETENDU
26168001,7587.0,LUS L CROIX HTE,44.672833,5.710833,1059,1946-02-01,RADOME
26179001,,MERCUROL,45.0585,4.8835,153,1993-07-01,ETENDU
26182001,,MIRABEL-AUX-BAR,44.328667,5.100833,238,1980-10-01,ETENDU
26189001,,MONTAUBAN-S-OUV,44.276,5.478333,689,1931-05-01,ETENDU
26198001,7577.0,MONTELIMAR,44.581167,4.733,73,1920-06-23,RADOME
26211001,,MONTSEGUR-S-LAU,44.3615,4.860833,146,1950-05-01,ETENDU
26258001,,PUY-ST-MARTIN,44.618167,4.976833,211,1968-12-01,ETENDU
26273002,,ROCHEFORT-SAMSON_SAPC,44.990667,5.165167,368,1984-09-01,ETENDU
26281001,,ROMANS_SAPC,45.050167,4.998667,156,1990-06-01,ETENDU
26290002,,COL DE ROUSSET_SAPC,44.841667,5.421667,1400,2017-09-20,ETENDU
26292002,,ST-AUBAN,44.294833,5.409833,625,2002-05-01,RADOME
26295001,,ST-BARTHELEMY-V_SAPC,45.173833,4.9025,203,1956-01-01,ETENDU
26298001,,ST-CHRISTOPHE-L_SAPC,45.229333,5.071833,452,1989-12-01,ETENDU
26307001,,ST-JEAN-EN-ROYA,45.009167,5.2925,308,1925-01-01,ETENDU
26313001,,ST-MARCEL-LES-V-INRAE,44.980167,4.931333,190,1962-01-01,ETENDU
26327001,,ST ROMAN-DIOIS,44.693833,5.428333,545,2003-04-29,RADOME
26328001,,ST SAUVEUR EN DIOIS,44.682667,5.157833,338,2013-10-04,ETENDU
26330001,,ST-SORLIN-EN-VA,45.271167,4.930333,237,1949-04-01,ETENDU
26340001,,SEDERON,44.202333,5.538833,804,1964-04-01,ETENDU
26361001,,VALDROME,44.505333,5.576667,786,1965-11-01,ETENDU
26377003,,VINSOBRES,44.337333,5.060167,346,1990-01-01,ETENDU
27016001,,LES ANDELYS,49.244667,1.412833,16,1925-01-01,ETENDU
27056003,,BERNAY,49.101333,0.559833,166,2004-04-01,RADOME
27100001,,BOULLEVILLE,49.361,0.392833,122,2004-04-01,RADOME
27112001,,BRETEUIL,48.8375,0.907667,168,1956-07-01,ETENDU
27306001,,GUICHAINVILLE,48.977,1.181667,147,1951-05-01,ETENDU
27347001,7038.0,EVREUX-HUEST,49.025,1.221667,138,1968-01-01,RADOME
27375001,,LOUVIERS,49.204167,1.187167,25,1939-05-01,ETENDU
27422001,,MUIDS,49.224167,1.2805,31,2004-06-01,RADOME
28051002,,BONNEVAL,48.205167,1.417333,134,2015-02-01,ETENDU
28064002,,BU_SAPC,48.8015,1.493167,132,1996-10-01,ETENDU
28070001,7143.0,CHARTRES,48.4605,1.501167,155,1918-09-01,RADOME
28078001,,CHAPELLE-GUILLAUME_SAPC,48.112,0.905833,197,2007-11-26,ETENDU
28190002,,GUILLONVILLE,48.092833,1.6675,133,2019-10-30,ETENDU
28195001,,HOUX,48.566167,1.620833,107,1950-04-01,ETENDU
28196003,,ILLIERS-COMBRAY_SAPC,48.2835,1.253167,170,2016-04-04,ETENDU
28198001,7140.0,CHATEAUDUN,48.061333,1.376333,126,1951-07-01,RADOME
28206001,,LAONS,48.706833,1.173167,171,2006-01-18,RADOME
28214003,,LA LOUPE_SAPC,48.481,1.013333,200,1996-06-01,ETENDU
28239002,,MARVILLE_SAPC,48.652667,1.371833,153,1990-04-01,ETENDU
28280001,,NOGENT-LE-ROTROU,48.318667,0.797833,108,1866-01-01,ETENDU
28322001,,RUEIL,48.712167,0.959333,157,1947-01-01,ETENDU
28363001,,SAINVILLE,48.403833,1.903167,149,1946-01-01,ETENDU
28373002,,SENONCHES,48.558,1.012167,239,1997-01-01,ETENDU
28380003,,SOURS_SAPC,48.406333,1.555167,147,2007-12-20,ETENDU
28386001,,THIMERT,48.544167,1.302833,225,1979-01-01,ETENDU
28406002,,EOLE_VIABON,48.213667,1.675167,140,2019-11-05,ETENDU
28407001,,VICHERES,48.257833,0.910167,235,2006-02-03,RADOME
29018001,,BRENNILIS,48.352667,-3.869,220,1961-12-01,ETENDU
29021001,7107.0,BRIGNOGAN,48.6765,-4.331,9,1982-03-01,ETENDU
29022001,7104.0,CAMARET,48.274333,-4.606,40,1952-10-01,ETENDU
29041002,,CORAY CHAT EAU,48.066,-3.8255,242,1990-09-01,ETENDU
29058003,7111.0,BEG_MEIL,47.8545,-3.976167,8,2012-03-01,ETENDU
29075001,7110.0,BREST-GUIPAVAS,48.453833,-4.391167,92,1945-01-01,RADOME
29082001,7116.0,BATZ,48.746333,-4.011833,32,1894-01-01,ETENDU
29113001,,LANMEUR,48.6625,-3.692667,57,1979-09-01,ETENDU
29120001,7109.0,LANVEOC,48.279333,-4.439333,81,1939-01-01,RADOME
29155005,7100.0,OUESSANT-STIFF,48.473333,-5.057,64,1995-09-01,RADOME
29158001,7200.0,PTE DE PENMARCH,47.7975,-4.374833,3,1891-01-01,ETENDU
29163003,,PLEYBER-CHRIST SA,48.5,-3.8535,147,1994-03-01,RADOME
29168001,7103.0,PTE DU RAZ,48.038833,-4.732,67,1893-01-01,ETENDU
29170001,,PLOMELIN-INRAE,47.946,-4.128,33,1978-04-01,ETENDU
29178001,7101.0,PLOUDALMEZEAU,48.548,-4.664167,40,1998-02-01,RADOME
29179001,,PLOUDANIEL-INRAE,48.503833,-4.327667,76,1979-01-01,ETENDU
29190001,7102.0,PLOUGONVELIN,48.33,-4.771667,22,1921-01-01,ETENDU
29214001,,PLOVAN,47.915833,-4.3775,10,2012-05-16,RADOME
29216001,7201.0,QUIMPER,47.973,-4.160667,82,1948-05-01,RADOME
29249002,,SAINT-GOAZEC,48.144667,-3.730833,260,2017-06-22,RADOME
29263002,,ST-SEGAL S A,48.225833,-4.09,89,1985-09-01,RADOME
29264001,7106.0,LANDIVISIAU,48.532,-4.151833,109,1966-05-01,RADOME
29276001,,SIBIRIL S A,48.660333,-4.0775,58,1988-04-01,RADOME
29277001,,SIZUN,48.391333,-4.0205,157,1982-01-01,ETENDU
29293001,,TREGUNC,47.841333,-3.868833,25,2003-12-01,RADOME
30003001,,AIGUES-MORTES,43.537167,4.207,1,1872-01-01,RADOME
30009001,,ALZON,43.979,3.444,611,1928-01-01,ETENDU
30068001,,CARDET,44.021,4.079667,109,1968-04-01,ETENDU
30076001,,CAVILLARGUES,44.113,4.518667,131,1960-07-01,ETENDU
30087002,,COLOGNAC,44.021833,3.825,589,1991-11-01,ETENDU
30101001,,DEAUX,44.071833,4.143667,185,1988-07-01,ETENDU
30129001,,GENERARGUES,44.073333,3.977667,139,1855-01-01,ETENDU
30132004,,LA GRAND COMBE,44.243,4.010167,499,2002-05-01,RADOME
30133005,7651.0,L'ESPIGUETTE,43.487833,4.1405,1,2009-02-16,ETENDU
30164001,,MEJANNES-LE-CLAP,44.216333,4.331,313,1991-08-01,RADOME
30176002,,MONTDARDIER,43.947,3.58,640,1990-05-01,RADOME
30189001,7645.0,NIMES-COURBESSAC,43.856833,4.406333,59,1921-01-01,RADOME
30202002,,PONT ST ESPRIT,44.248333,4.627333,79,1972-01-01,ETENDU
30209002,,PUJAUT,43.9985,4.759667,44,1988-06-01,RADOME
30224001,,LA ROUVIERE,43.931833,4.2405,79,1986-01-01,ETENDU
30243001,,ST CHRISTOL-LES-ALES,44.092167,4.080333,129,1949-01-01,ETENDU
30258001,7646.0,NIMES-GARONS,43.772833,4.412833,94,1964-01-01,RADOME
30263001,,ST HIPPOLYTE,43.9615,3.835167,237,1886-01-01,ETENDU
30269006,7562.0,ST JEAN DU GARD,44.1105,3.872,196,1974-04-01,ETENDU
30297001,,ST SAUVEUR CAMPRIEU,44.119333,3.4745,1107,1963-06-01,RADOME
30305001,,SALINDRES,44.1745,4.1525,191,1881-01-01,ETENDU
30334003,,UZES,43.9925,4.401833,72,2002-01-01,ETENDU
30339001,7560.0,MONT AIGOUAL,44.121333,3.5815,1567,1895-12-01,RADOME
30349001,,VIC LE FESQ,43.870833,4.072167,45,1956-09-01,ETENDU
30350001,,LE VIGAN,43.99,3.6115,222,1885-01-01,ETENDU
